"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","944","Remove product from cart","Cart management","2026-02-08","passed","2026-02-08","","","",""
"","1207","Successful logout","User logout","2026-02-08","passed","2026-02-08","","","",""
"","421","Login with locked out user","User authentication","2026-02-08","passed","2026-02-08","","","",""
"","830","Successful login with valid credentials","User authentication","2026-02-08","passed","2026-02-08","","","",""
"","1974","Successful checkout with valid data","Checkout process","2026-02-08","passed","2026-02-08","","","",""
"","1212","Checkout with missing personal information","Checkout process","2026-02-08","passed","2026-02-08","","","",""
"","2128","Add single product to cart","Cart management","2026-02-08","passed","2026-02-08","","","",""
"","604","Cart badge updates when product is removed","Cart badge counter","2026-02-08","passed","2026-02-08","","","",""
"","943","Cart badge updates when product is added","Cart badge counter","2026-02-08","passed","2026-02-08","","","",""
"","974","Add multiple products to cart","Cart management","2026-02-08","passed","2026-02-08","","","",""
"","494","Login with invalid credentials","User authentication","2026-02-08","failed","2026-02-08","","","",""
